step              M              B          Fed_R            M/B             rr
1            713.53          100.0          34.24           7.14          5.29%
2            692.52          99.74          34.24           6.94          5.22%
3            739.36           99.9           34.5            7.4          5.31%
4            736.22         103.04          37.63           7.15          4.93%
5            773.35         103.69          34.96           7.46          5.32%
6            807.31         111.52          39.38           7.24          5.17%
7            818.85         110.02          40.04           7.44          5.69%
8            853.27         112.73          44.85           7.57          5.88%
9            880.99         116.99          48.79           7.53          5.46%
10           898.64         116.34          47.05           7.72          5.97%
11           935.95         123.39          52.35           7.59          5.61%
12           958.54          123.3          51.49           7.77          5.63%
13           957.17         124.67          52.86           7.68          5.43%
14           997.42         123.88          50.96           8.05          5.52%
15          1042.65         128.64          53.89           8.11          5.72%
16          1090.24         133.54          58.49           8.16          6.29%
17          1081.22         142.57          67.52           7.58          6.05%
18          1083.75         140.04          64.99           7.74          6.54%
19           1155.1         146.51          70.26           7.88          7.09%
20          1143.88         157.73          81.49           7.25           6.9%
21          1194.22         154.72          79.28           7.72          7.57%
22          1175.42         167.65          90.74           7.01          7.05%
23          1222.03         158.44          83.84           7.71          7.11%
24          1268.16         164.15          87.54           7.73          7.49%
25           1313.1         173.41          95.75           7.57          7.16%
26          1374.82         175.09          95.28           7.85          7.82%
27          1427.97         189.18         108.72           7.55          7.16%
28          1432.45          184.7         104.24           7.76          7.28%
29          1430.65          186.5         106.03           7.67          6.73%
30          1438.62         178.53          98.07           8.06          7.06%
31          1466.03         185.17         102.88           7.92          6.86%
32          1507.56         188.57         101.92           7.99           7.2%
33          1511.15         199.42         109.61           7.58          7.16%
34          1541.98         196.68         109.56           7.84           7.8%
35          1573.17         213.57         122.07           7.37          7.17%
36          1611.38         206.34         114.94           7.81          7.49%
37          1633.47         215.15         122.42           7.59          7.43%
38          1691.48         218.47         123.58           7.74          7.83%
39          1715.37         231.63         134.61           7.41          7.39%
40          1747.46          225.9         129.47           7.74          7.49%
41           1847.4         231.57         133.36           7.98          8.04%
42          1829.36         249.61          151.4           7.33          7.71%
43          1905.01         245.22         145.12           7.77          7.75%
44          1945.47         254.43         151.17           7.65          7.71%
45          2045.17         259.45         153.77           7.88          7.77%
46          2151.27         271.82         162.58           7.91          8.11%
47          2135.11         287.98         178.74           7.41          7.78%
48          2142.42         280.67         171.44           7.63          7.79%
49          2224.08         286.36          171.7           7.77          8.25%
50          2255.36         311.41         188.18           7.24          7.84%
51          2298
